test_acc,runtime,train_acc,system,representation
0.5421686746987951,106.17404794692992,0.95,Popper,node_only
0.9156626506024096,100.69935011863708,1.0,Popper,node_edge
0.0,1.8879902362823489,0.0,Popper,edge_based
0.6506024096385542,91.56517910957336,1.0,Popper,Klog
0.6746987951807228,2.8984410762786865,0.673139158576052,Tilde,node_only
1.0,5.594614028930664,1.0,Tilde,node_edge
1.0,10.856674194335938,1.0,Tilde,edge_based
0.6746987951807228,1.6794910430908203,0.673139158576052,Tilde,Klog
0.6746987951807228,180.084673916,0.0,Aleph,node_only
0.9759036144578314,0.341646375,0.0,Aleph,node_edge
0.9759036144578314,40.28260475,0.0,Aleph,edge_based
0.6746987951807228,180.099633041,0.0,Aleph,Klog
