train_acc,train_loss,val_acc,test_acc,test_acc_std,lr,epoch,model,layers,hidden_dims,total_epochs,runtime,test_size,val_size,train_size,representation
0.706766917293233,4.277446985244751,0.0,0.7,0.0,1e-05,121,GINE,5,128,200,23.32905650138855,3,15,133,node_edge
0.6390977443609023,4.63356414437294,0.0,0.675,0.0,1e-05,121,GINE,5,128,200,28.11283838748932,3,15,133,edge_based
0.6691729323308271,4.906013369560242,0.0,0.7,0.0,1e-05,121,GINE,5,128,200,37.128182888031006,3,15,133,Klog
0.706766917293233,4.152362436056137,0.0,0.7375,0.03750000000000003,1e-05,121,GINE,5,256,200,34.86901497840881,3,15,133,node_edge
0.6541353383458647,4.912402451038361,0.0,0.675,0.0,1e-05,121,GINE,5,256,200,46.21746551990509,3,15,133,edge_based
0.6466165413533834,4.99705183506012,0.0,0.6875,0.012499999999999956,1e-05,121,GINE,5,256,200,69.99951195716858,3,15,133,Klog
0.7142857142857143,4.350527107715607,0.0,0.7,0.0,1e-05,121,GINE,7,128,200,35.60518503189087,3,15,133,node_edge
0.631578947368421,5.04100888967514,0.0,0.675,0.0,1e-05,121,GINE,7,128,200,43.54814553260803,3,15,133,edge_based
0.6842105263157895,4.706054151058197,0.0,0.6875,0.012499999999999956,1e-05,121,GINE,7,128,200,57.6819828748703,3,15,133,Klog
0.6842105263157895,3.9606463611125946,0.0,0.7124999999999999,0.012500000000000011,1e-05,121,GINE,7,256,200,55.286126494407654,3,15,133,node_edge
0.6616541353383458,4.94893878698349,0.0,0.675,0.0,1e-05,121,GINE,7,256,200,70.49653089046478,3,15,133,edge_based
0.6616541353383458,4.711509972810745,0.0,0.7,0.0,1e-05,121,GINE,7,256,200,96.85134589672089,3,15,133,Klog
0.6842105263157895,4.356290400028229,0.0,0.7124999999999999,0.012500000000000011,1e-05,121,GINE,9,128,200,41.620201587677,3,15,133,node_edge
0.6466165413533834,4.966486692428589,0.0,0.675,0.0,1e-05,121,GINE,9,128,200,53.70943856239319,3,15,133,edge_based
0.6466165413533834,5.075322866439819,0.0,0.675,0.0,1e-05,121,GINE,9,128,200,298.0842720270157,3,15,133,Klog
0.706766917293233,4.3200975358486176,0.0,0.7124999999999999,0.012500000000000011,1e-05,121,GINE,9,256,200,427.97958993911743,3,15,133,node_edge
0.6240601503759399,5.0035706758499146,0.0,0.675,0.0,1e-05,121,GINE,9,256,200,103.74274790287018,3,15,133,edge_based
0.631578947368421,5.137804061174393,0.0,0.6875,0.012499999999999956,1e-05,121,GINE,9,256,200,154.94963955879211,3,15,133,Klog
0.6466165413533834,5.1286450028419495,0.0,0.675,0.0,1e-05,121,GCN,5,128,200,10.73185646533966,3,15,133,node_edge
0.6390977443609023,5.1782291531562805,0.0,0.675,0.0,1e-05,121,GCN,5,128,200,14.552192568778992,3,15,133,edge_based
0.6466165413533834,5.1185305416584015,0.0,0.675,0.0,1e-05,121,GCN,5,128,200,21.498956561088562,3,15,133,Klog
0.6240601503759399,5.258695006370544,0.0,0.675,0.0,1e-05,121,GCN,5,256,200,20.095619797706604,3,15,133,node_edge
0.6390977443609023,5.1375837326049805,0.0,0.675,0.0,1e-05,121,GCN,5,256,200,30.498734951019287,3,15,133,edge_based
0.631578947368421,5.313807427883148,0.0,0.675,0.0,1e-05,121,GCN,5,256,200,45.112027525901794,3,15,133,Klog
0.631578947368421,5.179245471954346,0.0,0.675,0.0,1e-05,121,GCN,7,128,200,15.024662494659424,3,15,133,node_edge
0.6390977443609023,5.218908131122589,0.0,0.675,0.0,1e-05,121,GCN,7,128,200,21.339001417160034,3,15,133,edge_based
0.6390977443609023,5.077081143856049,0.0,0.675,0.0,1e-05,121,GCN,7,128,200,34.64844298362732,3,15,133,Klog
0.6015037593984962,5.232373118400574,0.0,0.675,0.0,1e-05,121,GCN,7,256,200,31.095210194587708,3,15,133,node_edge
0.6616541353383458,4.9644691944122314,0.0,0.675,0.0,1e-05,121,GCN,7,256,200,46.41164493560791,3,15,133,edge_based
0.631578947368421,5.188469231128693,0.0,0.675,0.0,1e-05,121,GCN,7,256,200,60.76679754257202,3,15,133,Klog
0.631578947368421,5.185518980026245,0.0,0.675,0.0,1e-05,121,GCN,9,128,200,22.99292504787445,3,15,133,node_edge
0.6466165413533834,5.153861820697784,0.0,0.675,0.0,1e-05,121,GCN,9,128,200,27.92881941795349,3,15,133,edge_based
0.6541353383458647,4.995284914970398,0.0,0.675,0.0,1e-05,121,GCN,9,128,200,44.14824414253235,3,15,133,Klog
0.6015037593984962,5.247296988964081,0.0,0.675,0.0,1e-05,121,GCN,9,256,200,38.6586651802063,3,15,133,node_edge
0.631578947368421,5.257128417491913,0.0,0.675,0.0,1e-05,121,GCN,9,256,200,52.974666476249695,3,15,133,edge_based
0.6541353383458647,5.103768765926361,0.0,0.675,0.0,1e-05,121,GCN,9,256,200,68.29665851593018,3,15,133,Klog
0.6466165413533834,4.8224208652973175,0.0,0.675,0.0,1e-05,121,GlobalAttentionNet,5,128,200,10.480091452598572,3,15,133,node_edge
0.6390977443609023,5.171281635761261,0.0,0.675,0.0,1e-05,121,GlobalAttentionNet,5,128,200,12.186758637428284,3,15,133,edge_based
0.6616541353383458,4.952005505561829,0.0,0.675,0.0,1e-05,121,GlobalAttentionNet,5,128,200,17.027242422103882,3,15,133,Klog
0.6842105263157895,4.91270512342453,0.0,0.6875,0.012499999999999956,1e-05,121,GlobalAttentionNet,5,256,200,17.63771951198578,3,15,133,node_edge
0.6616541353383458,4.997688174247742,0.0,0.675,0.0,1e-05,121,GlobalAttentionNet,5,256,200,19.98999059200287,3,15,133,edge_based
0.6165413533834586,5.10655277967453,0.0,0.675,0.0,1e-05,121,GlobalAttentionNet,5,256,200,31.004597067832947,3,15,133,Klog
0.6766917293233082,4.893559783697128,0.0,0.6875,0.012499999999999956,1e-05,121,GlobalAttentionNet,7,128,200,14.39803397655487,3,15,133,node_edge
0.6466165413533834,5.083262622356415,0.0,0.675,0.0,1e-05,121,GlobalAttentionNet,7,128,200,16.788949489593506,3,15,133,edge_based
0.631578947368421,5.186382710933685,0.0,0.675,0.0,1e-05,121,GlobalAttentionNet,7,128,200,22.397822976112366,3,15,133,Klog
0.6466165413533834,4.827910840511322,0.0,0.675,0.0,1e-05,121,GlobalAttentionNet,7,256,200,22.901140451431274,3,15,133,node_edge
0.6766917293233082,4.918053150177002,0.0,0.675,0.0,1e-05,121,GlobalAttentionNet,7,256,200,27.123203992843628,3,15,133,edge_based
0.6090225563909775,5.2602837681770325,0.0,0.675,0.0,1e-05,121,GlobalAttentionNet,7,256,200,41.720309019088745,3,15,133,Klog
0.631578947368421,5.178823471069336,0.0,0.675,0.0,1e-05,121,GlobalAttentionNet,9,128,200,16.439896821975708,3,15,133,node_edge
0.6466165413533834,5.049628674983978,0.0,0.675,0.0,1e-05,121,GlobalAttentionNet,9,128,200,19.525431156158447,3,15,133,edge_based
0.631578947368421,5.16176450252533,0.0,0.675,0.0,1e-05,121,GlobalAttentionNet,9,128,200,27.777228713035583,3,15,133,Klog
0.6616541353383458,5.098461151123047,0.0,0.675,0.0,1e-05,121,GlobalAttentionNet,9,256,200,29.618489503860474,3,15,133,node_edge
0.6390977443609023,5.18609881401062,0.0,0.675,0.0,1e-05,121,GlobalAttentionNet,9,256,200,34.77638506889343,3,15,133,edge_based
