train_acc,train_loss,val_acc,test_acc,test_acc_std,lr,epoch,model,layers,hidden_dims,total_epochs,runtime,test_size,val_size,train_size,representation
0.6707317073170732,8.74245136976242,0.5714285714285714,0.6618357487922705,0.006831949576681597,1e-05,124,GINE,2,64,200,23.568992773691814,5,28,246,Klog
0.7195121951219512,8.821067094802856,0.6785714285714286,0.6618357487922705,0.04155712689392573,1e-05,135,GINE,2,128,200,36.561006943384804,5,28,246,Klog
0.6991869918699187,9.099711894989014,0.6428571428571429,0.6183574879227053,0.029779777792120654,1e-05,124,GINE,3,64,200,36.23270567258199,5,28,246,Klog
0.7032520325203252,8.595513552427292,0.4642857142857143,0.6666666666666666,0.011833283781561253,1e-05,126,GINE,3,128,200,57.22950808207194,5,28,246,Klog
0.6666666666666666,9.548940151929855,0.4642857142857143,0.608695652173913,0.04099169746008968,1e-05,121,GCN,2,64,200,13.248407284418741,5,28,246,Klog
0.7195121951219512,9.171447515487671,0.32142857142857145,0.5990338164251208,0.03615127909926512,1e-05,122,GCN,2,128,200,20.91778016090393,5,28,246,Klog
0.6300813008130082,10.413439869880676,0.39285714285714285,0.6135265700483092,0.006831949576681597,1e-05,121,GCN,3,64,200,17.85501718521118,5,28,246,Klog
0.5691056910569106,10.420108318328857,0.4642857142857143,0.5555555555555556,0.006831949576681597,1e-05,121,GCN,3,128,200,28.688018163045246,5,28,246,Klog
0.7195121951219512,9.020831018686295,0.42857142857142855,0.6376811594202899,0.011833283781561253,1e-05,124,GlobalAttentionNet,2,64,200,9.440623044967651,5,28,246,Klog
0.6869918699186992,9.261080026626587,0.6428571428571429,0.6038647342995169,0.02977977779212066,1e-05,129,GlobalAttentionNet,2,128,200,15.774804671605429,5,28,246,Klog
0.5487804878048781,10.765305399894714,0.6428571428571429,0.5797101449275363,0.04099169746008968,1e-05,121,GlobalAttentionNet,3,64,200,12.68716303507487,5,28,246,Klog
0.6504065040650406,9.391931921243668,0.5714285714285714,0.5845410628019324,0.03803868538169955,1e-05,126,GlobalAttentionNet,3,128,200,20.942347526550293,5,28,246,Klog
0.6585365853658537,9.550820678472519,0.6071428571428571,0.6183574879227053,0.006831949576681597,1e-05,126,SAGPool,2,64,200,9.222716410954794,5,28,246,Klog
0.6544715447154471,8.758106857538223,0.5357142857142857,0.5990338164251208,0.018075639549632556,1e-05,127,SAGPool,2,128,200,14.370459794998169,5,28,246,Klog
0.6382113821138211,9.651965618133545,0.5714285714285714,0.5652173913043478,0.0,1e-05,133,SAGPool,3,64,200,17.894975185394287,5,28,246,Klog
0.6382113821138211,9.35821709036827,0.5357142857142857,0.6231884057971014,0.023666567563122506,1e-05,134,SAGPool,3,128,200,32.87652452786764,5,28,246,Klog
0.6951219512195121,8.641472548246384,0.6428571428571429,0.6570048309178743,0.013663899153363246,1e-05,127,GINE,2,64,200,17.458681027094524,5,28,246,node_edge
0.6544715447154471,9.946437686681747,0.5714285714285714,0.6376811594202899,0.03549985134468376,1e-05,129,GINE,2,64,200,21.46159092585246,5,28,246,edge_based
0.7113821138211383,9.432605654001236,0.5357142857142857,0.6376811594202899,0.02366656756312246,1e-05,130,GINE,2,128,200,25.4990660349528,5,28,246,node_edge
0.7154471544715447,9.936578035354614,0.5714285714285714,0.6376811594202898,0.03130792607926503,1e-05,133,GINE,2,128,200,28.44037652015686,5,28,246,edge_based
0.7723577235772358,8.192425340414047,0.6071428571428571,0.6521739130434783,0.011833283781561253,1e-05,128,GINE,3,64,200,26.943050702412922,5,28,246,node_edge
0.7642276422764228,8.985995650291443,0.5,0.6425120772946861,0.044800089350220784,1e-05,123,GINE,3,64,200,31.707625309626263,5,28,246,edge_based
0.7073170731707317,8.491227060556412,0.6428571428571429,0.6714975845410628,0.01807563954963256,1e-05,130,GINE,3,128,200,37.027714014053345,5,28,246,node_edge
0.7560975609756098,9.042582303285599,0.4642857142857143,0.6618357487922705,0.03803868538169955,1e-05,123,GINE,3,128,200,42.71007800102234,5,28,246,edge_based
0.6910569105691057,9.418711483478546,0.5,0.5990338164251208,0.01807563954963256,1e-05,123,GCN,2,64,200,9.295328537623087,5,28,246,node_edge
0.6626016260162602,9.497869998216629,0.6071428571428571,0.5845410628019323,0.018075639549632597,1e-05,127,GCN,2,64,200,11.121151288350424,5,28,246,edge_based
0.7073170731707317,8.818603456020355,0.5357142857142857,0.6280193236714976,0.01807563954963256,1e-05,130,GCN,2,128,200,13.512609481811523,5,28,246,node_edge
0.6585365853658537,9.621376007795334,0.6428571428571429,0.5845410628019323,0.013663899153363246,1e-05,132,GCN,2,128,200,16.675785621007282,5,28,246,edge_based
0.7195121951219512,8.644457161426544,0.6785714285714286,0.5990338164251208,0.006831949576681649,1e-05,125,GCN,3,64,200,11.273167371749878,5,28,246,node_edge
0.6097560975609756,10.34557032585144,0.6785714285714286,0.5893719806763285,0.018075639549632597,1e-05,131,GCN,3,64,200,12.80202579498291,5,28,246,edge_based
0.6422764227642277,9.339911848306656,0.6071428571428571,0.6231884057971014,0.0426655114315355,1e-05,123,GCN,3,128,200,16.0620596408844,5,28,246,node_edge
0.6585365853658537,9.783172816038132,0.6428571428571429,0.5748792270531401,0.03415974788340809,1e-05,123,GCN,3,128,200,21.55653166770935,5,28,246,edge_based
0.8008130081300813,8.070611000061035,0.6071428571428571,0.6038647342995169,0.006831949576681649,1e-05,124,GlobalAttentionNet,2,64,200,7.367201646169026,5,28,246,node_edge
0.6422764227642277,9.5272798538208,0.4642857142857143,0.5748792270531401,0.018075639549632556,1e-05,121,GlobalAttentionNet,2,64,200,10.220073779424032,5,28,246,edge_based
0.7926829268292683,7.479901999235153,0.5714285714285714,0.6376811594202899,0.02049584873004484,1e-05,129,GlobalAttentionNet,2,128,200,11.93224835395813,5,28,246,node_edge
0.6666666666666666,9.278421580791473,0.6071428571428571,0.6328502415458938,0.02977977779212065,1e-05,129,GlobalAttentionNet,2,128,200,10.859854300816854,5,28,246,edge_based
0.7845528455284553,7.5531478226184845,0.5357142857142857,0.642512077294686,0.006831949576681649,1e-05,129,GlobalAttentionNet,3,64,200,8.928458372751871,5,28,246,node_edge
0.5365853658536586,11.055266439914703,0.75,0.5748792270531401,0.024632944510110093,1e-05,121,GlobalAttentionNet,3,64,200,9.94962191581726,5,28,246,edge_based
0.8089430894308943,6.7077009081840515,0.6785714285714286,0.6231884057971014,0.023666567563122506,1e-05,134,GlobalAttentionNet,3,128,200,13.993321339289347,5,28,246,node_edge
0.6341463414634146,9.707654297351837,0.6071428571428571,0.5797101449275363,0.011833283781561253,1e-05,128,GlobalAttentionNet,3,128,200,15.185051361719767,5,28,246,edge_based
0.7682926829268293,8.247574806213379,0.5,0.6231884057971014,0.01183328378156121,1e-05,127,SAGPool,2,64,200,6.628721793492635,5,28,246,node_edge
0.6178861788617886,10.081092119216919,0.6785714285714286,0.5893719806763285,0.02463294451011008,1e-05,122,SAGPool,2,64,200,7.228190263112386,5,28,246,edge_based
