train_acc,train_loss,val_acc,test_acc,lr,epoch,model,layers,hidden_dims,epochs,runtime,total_examples,test_size,val_size,train_size,object_complexity,relation_complexity
0.7142857142857143,0.8035479187965393,0.0,0.0,0.1,0,GIN,5,256,40,0.7788281440734863,10,2,1,7,10,5
0.7142857142857143,1.9885915517807007,0.0,0.0,0.1,1,GIN,5,256,40,0.7788281440734863,10,2,1,7,10,5
0.7142857142857143,1.4336661100387573,0.0,0.0,0.1,2,GIN,5,256,40,0.7788281440734863,10,2,1,7,10,5
0.7142857142857143,25.693132400512695,0.0,0.0,0.1,3,GIN,5,256,40,0.7788281440734863,10,2,1,7,10,5
0.2857142857142857,9.181717872619629,1.0,1.0,0.1,4,GIN,5,256,40,0.7788281440734863,10,2,1,7,10,5
0.2857142857142857,14.569414138793945,1.0,1.0,0.1,5,GIN,5,256,40,0.7788281440734863,10,2,1,7,10,5
0.7142857142857143,17.416975021362305,0.0,0.0,0.1,6,GIN,5,256,40,0.7788281440734863,10,2,1,7,10,5
0.8571428571428571,14.318604469299316,1.0,1.0,0.1,7,GIN,5,256,40,0.7788281440734863,10,2,1,7,10,5
0.8571428571428571,0.00821627862751484,1.0,1.0,0.1,8,GIN,5,256,40,0.7788281440734863,10,2,1,7,10,5
0.5714285714285714,10.685226440429688,1.0,1.0,0.1,9,GIN,5,256,40,0.7788281440734863,10,2,1,7,10,5
0.5714285714285714,14.798529624938965,1.0,1.0,0.1,10,GIN,5,256,40,0.7788281440734863,10,2,1,7,10,5
0.5714285714285714,25.53447151184082,0.0,0.5,0.06999999999999999,11,GIN,5,256,40,0.7788281440734863,10,2,1,7,10,5
0.7142857142857143,7.020806312561035,0.0,0.5,0.06999999999999999,12,GIN,5,256,40,0.7788281440734863,10,2,1,7,10,5
0.8571428571428571,0.0,0.0,0.5,0.06999999999999999,13,GIN,5,256,40,0.7788281440734863,10,2,1,7,10,5
0.7142857142857143,0.0,0.0,0.5,0.06999999999999999,14,GIN,5,256,40,0.7788281440734863,10,2,1,7,10,5
0.7142857142857143,25.640499114990234,0.0,0.0,0.06999999999999999,15,GIN,5,256,40,0.7788281440734863,10,2,1,7,10,5
