train_acc,train_loss,val_acc,test_acc,lr,epoch
0.4357142857142857,175.1248441338539,0.0,0.0,0.1,0
0.6642857142857143,251.54466342926025,0.0,0.0,0.1,1
0.5571428571428572,75.0979511812327,1.0,1.0,0.1,2
0.7142857142857143,44.65938138961792,0.0,0.0,0.1,3
0.6714285714285714,36.06857158243656,0.1,0.0,0.1,4
0.7142857142857143,21.043309539556503,0.15,0.05,0.1,5
0.8285714285714286,3.5131375789642334,0.7,0.55,0.1,6
0.7642857142857142,13.861420840024948,0.95,0.975,0.1,7
0.8357142857142857,4.226187586784363,0.6,0.45,0.1,8
0.7642857142857142,5.826963394880295,1.0,1.0,0.06999999999999999,9
0.8,4.211175560951233,0.7,0.275,0.06999999999999999,10
0.8428571428571429,3.8432529270648956,1.0,0.675,0.06999999999999999,11
0.7714285714285715,3.523225277662277,0.7,0.675,0.06999999999999999,12
0.7928571428571428,2.9424582719802856,0.8,0.45,0.06999999999999999,13
0.8285714285714286,3.0382128953933716,0.95,0.875,0.06999999999999999,14
0.8642857142857143,3.4267489314079285,1.0,0.975,0.048999999999999995,15
0.8428571428571429,3.1956258565187454,1.0,0.725,0.048999999999999995,16
0.8857142857142857,3.2364949136972427,1.0,0.95,0.048999999999999995,17
0.8285714285714286,3.31033031642437,1.0,1.0,0.048999999999999995,18
0.8,3.9688053131103516,1.0,1.0,0.048999999999999995,19
0.85,3.5597541332244873,1.0,1.0,0.048999999999999995,20
0.8928571428571429,3.3229034543037415,1.0,0.925,0.0343,21
0.8642857142857143,3.127942815423012,0.8,0.575,0.0343,22
0.8357142857142857,3.5862517952919006,1.0,1.0,0.0343,23
0.8,3.373834550380707,1.0,1.0,0.0343,24
0.85,3.1883150935173035,1.0,1.0,0.0343,25
0.8785714285714286,3.359834834933281,1.0,0.925,0.0343,26
0.8642857142857143,2.9739317297935486,1.0,0.925,0.024009999999999997,27
0.8785714285714286,2.9321247935295105,1.0,0.95,0.024009999999999997,28
0.8857142857142857,2.739673838019371,1.0,0.925,0.024009999999999997,29
0.8642857142857143,3.218408316373825,1.0,0.925,0.024009999999999997,30
0.8928571428571429,2.5646029114723206,0.95,0.925,0.024009999999999997,31
0.8714285714285714,2.7972414940595627,0.95,0.925,0.024009999999999997,32
0.85,3.059548869729042,1.0,0.975,0.016806999999999996,33
0.8714285714285714,2.3159176856279373,1.0,0.95,0.016806999999999996,34
0.9,3.008340537548065,0.9,0.925,0.016806999999999996,35
0.8857142857142857,3.3118856251239777,1.0,0.925,0.016806999999999996,36
0.8428571428571429,3.2022906690835953,1.0,1.0,0.016806999999999996,37
0.8571428571428571,3.1292165219783783,1.0,0.975,0.016806999999999996,38
0.8571428571428571,2.887756034731865,1.0,1.0,0.011764899999999997,39
