,epoch,_wandb,val_acc,test_acc,_timestamp,lr,_step,_runtime,train_acc,fold,model,layers,dataset,batch_size,hidden_dims,repetitions,dataset_size
1454,199.0,{'runtime': 8},0.6666666666666666,0.8043478260869565,1702219937.839403,1e-05,199.0,15.695914030075071,1.0,4,GIN,3,HotKlog,32,64,1,25
1455,199.0,{'runtime': 7},0.6666666666666666,0.7717391304347826,1702219928.249818,1e-05,199.0,7.824637174606323,1.0,4,GIN,3,HotKlog,32,64,0,25
1456,199.0,{'runtime': 8},0.5,0.7391304347826086,1702219917.2438369,1e-05,199.0,8.854551792144775,1.0,4,SAGPool,2,HotKlog,32,64,0,25
1457,199.0,{'runtime': 8},0.5,0.75,1702219917.1978822,1e-05,199.0,8.812774181365967,1.0,4,SAGPool,2,HotKlog,32,64,1,25
1458,199.0,{'runtime': 7},0.8333333333333334,0.8586956521739131,1702219917.194886,1e-05,199.0,8.701045989990234,1.0,4,GlobalAttentionNet,2,HotKlog,32,64,1,25
1459,199.0,{'runtime': 8},1.0,0.9347826086956522,1702219917.252426,1e-05,199.0,8.867503881454468,1.0,4,GlobalAttentionNet,2,HotKlog,32,64,0,25
1460,199.0,{'runtime': 8},0.5,0.7391304347826086,1702219916.040346,1e-05,199.0,9.1826810836792,1.0,4,GCN,2,HotKlog,32,64,1,25
1461,199.0,{'runtime': 7},0.5,0.7391304347826086,1702219918.384716,1e-05,199.0,8.617825031280518,1.0,4,GCN,2,HotKlog,32,64,0,25
1462,199.0,{'runtime': 8},0.5,0.7934782608695652,1702219918.005134,1e-05,199.0,9.457703113555908,1.0,4,GIN,2,HotKlog,32,64,1,25
1463,199.0,{'runtime': 8},0.5,0.782608695652174,1702219917.8297632,1e-05,199.0,12.553261280059814,1.0,4,GIN,2,HotKlog,32,64,0,25
1464,199.0,{'runtime': 8},1.0,0.8369565217391305,1702219910.324169,1e-05,199.0,9.04512095451355,1.0,4,GlobalAttentionNet,1,HotKlog,32,64,1,25
1465,199.0,{'runtime': 8},1.0,0.782608695652174,1702219908.13315,1e-05,199.0,8.887008905410767,1.0,4,GlobalAttentionNet,1,HotKlog,32,64,0,25
1466,199.0,{'runtime': 7},0.6666666666666666,0.7934782608695652,1702219893.625345,1e-05,199.0,7.732646942138672,1.0,4,SAGPool,1,HotKlog,32,64,0,25
1467,199.0,{'runtime': 6},0.6666666666666666,0.7717391304347826,1702219893.518831,1e-05,199.0,7.570549011230469,0.9615384615384616,4,SAGPool,1,HotKlog,32,64,1,25
1468,199.0,{'runtime': 7},0.6666666666666666,0.75,1702219892.476168,1e-05,199.0,8.243121862411499,0.9615384615384616,4,GCN,1,HotKlog,32,64,1,25
1469,199.0,{'runtime': 6},0.5,0.7391304347826086,1702219894.695678,1e-05,199.0,6.8634068965911865,0.9615384615384616,4,GCN,1,HotKlog,32,64,0,25
1470,199.0,{'runtime': 7},0.5,0.7065217391304348,1702219893.432275,1e-05,199.0,8.290977954864502,0.9230769230769232,4,GlobalAttentionNet,4,HotKlog,32,32,1,25
1471,199.0,{'runtime': 7},0.5,0.8043478260869565,1702219889.379355,1e-05,199.0,8.31634783744812,1.0,4,GIN,1,HotKlog,32,64,1,25
1472,199.0,{'runtime': 7},0.5,0.782608695652174,1702219892.043721,1e-05,199.0,8.386632919311523,1.0,4,GIN,1,HotKlog,32,64,0,25
1473,199.0,{'runtime': 7},0.6666666666666666,0.7282608695652174,1702219892.342431,1e-05,199.0,13.13986110687256,0.7692307692307693,4,GlobalAttentionNet,4,HotKlog,32,32,0,25
1474,199.0,{'runtime': 8},0.6666666666666666,0.75,1702219887.640218,1e-05,199.0,9.09922194480896,0.9615384615384616,4,SAGPool,4,HotKlog,32,32,1,25
1475,199.0,{'runtime': 7},0.5,0.5869565217391305,1702219881.550592,1e-05,199.0,8.072171926498413,0.8076923076923077,4,SAGPool,4,HotKlog,32,32,0,25
1476,199.0,{'runtime': 8},0.5,0.7282608695652174,1702219871.134797,1e-05,199.0,9.64385199546814,1.0,4,GIN,4,HotKlog,32,32,1,25
1477,199.0,{'runtime': 7},0.5,0.717391304347826,1702219870.294236,1e-05,199.0,8.499639987945557,1.0,4,GCN,4,HotKlog,32,32,0,25
1478,199.0,{'runtime': 7},0.5,0.75,1702219870.334761,1e-05,199.0,8.531090021133423,1.0,4,GCN,4,HotKlog,32,32,1,25
1479,199.0,{'runtime': 8},0.8333333333333334,0.782608695652174,1702219871.266216,1e-05,199.0,9.652117013931274,1.0,4,GIN,4,HotKlog,32,32,0,25
1480,199.0,{'runtime': 9},0.8333333333333334,0.7065217391304348,1702219868.83928,1e-05,199.0,10.022325038909912,0.8846153846153846,4,SAGPool,3,HotKlog,32,32,1,25
1481,199.0,{'runtime': 7},1.0,0.7065217391304348,1702219870.191594,1e-05,199.0,8.15625,0.8076923076923077,4,GlobalAttentionNet,3,HotKlog,32,32,1,25
1482,199.0,{'runtime': 8},0.5,0.8913043478260869,1702219868.125822,1e-05,199.0,9.05786108970642,1.0,4,GlobalAttentionNet,3,HotKlog,32,32,0,25
1483,128.0,,0.6666666666666666,0.7065217391304348,1702219864.5414212,1e-05,128.0,10.657848119735718,1.0,4,SAGPool,3,HotKlog,32,32,0,25
1484,199.0,{'runtime': 9},0.5,0.7282608695652174,1702219863.214943,1e-05,199.0,10.266571044921877,0.9615384615384616,4,GCN,3,HotKlog,32,32,1,25
1485,199.0,{'runtime': 9},0.5,0.7391304347826086,1702219862.7273889,1e-05,199.0,10.215029954910278,1.0,4,GCN,3,HotKlog,32,32,0,25
1486,199.0,{'runtime': 7},1.0,0.8152173913043478,1702219847.96655,1e-05,199.0,7.893821001052856,1.0,4,GlobalAttentionNet,2,HotKlog,32,32,1,25
1487,199.0,{'runtime': 7},1.0,0.8695652173913043,1702219848.095576,1e-05,199.0,7.807963132858276,1.0,4,GlobalAttentionNet,2,HotKlog,32,32,0,25
1488,199.0,{'runtime': 7},1.0,0.8043478260869565,1702219848.906128,1e-05,199.0,8.518175840377808,1.0,4,GIN,3,HotKlog,32,32,0,25
1489,199.0,{'runtime': 7},0.5,0.7717391304347826,1702219848.982059,1e-05,199.0,8.599728107452393,1.0,4,GIN,3,HotKlog,32,32,1,25
1490,199.0,{'runtime': 8},0.5,0.75,1702219847.048845,1e-05,199.0,8.973209142684937,0.9615384615384616,4,SAGPool,2,HotKlog,32,32,0,25
1491,199.0,{'runtime': 7},0.5,0.7391304347826086,1702219846.662163,1e-05,199.0,8.659379005432129,0.9615384615384616,4,SAGPool,2,HotKlog,32,32,1,25
1492,199.0,{'runtime': 6},0.5,0.75,1702219848.970079,1e-05,199.0,7.261806964874268,0.9615384615384616,4,GCN,2,HotKlog,32,32,1,25
1493,199.0,{'runtime': 9},0.8333333333333334,0.782608695652174,1702219843.000312,1e-05,199.0,10.046199083328249,0.9230769230769232,4,GCN,2,HotKlog,32,32,0,25
1494,199.0,{'runtime': 9},0.8333333333333334,0.8478260869565217,1702219841.9731898,1e-05,199.0,10.020299911499023,1.0,4,GIN,2,HotKlog,32,32,1,25
1495,199.0,{'runtime': 9},1.0,0.8695652173913043,1702219841.5799522,1e-05,199.0,9.90433430671692,1.0,4,GIN,2,HotKlog,32,32,0,25
1496,199.0,{'runtime': 4},1.0,0.8369565217391305,1702219828.945704,1e-05,199.0,5.38267707824707,1.0,4,GlobalAttentionNet,1,HotKlog,32,32,1,25
1497,199.0,{'runtime': 4},1.0,0.7717391304347826,1702219827.611349,1e-05,199.0,5.670148134231567,1.0,4,GlobalAttentionNet,1,HotKlog,32,32,0,25
1498,199.0,{'runtime': 6},1.0,0.7608695652173914,1702219825.7302349,1e-05,199.0,7.580910921096802,0.8461538461538461,4,SAGPool,1,HotKlog,32,32,0,25
1499,199.0,{'runtime': 7},0.6666666666666666,0.7391304347826086,1702219825.458514,1e-05,199.0,7.798150062561035,0.7692307692307693,4,GCN,1,HotKlog,32,32,1,25
1500,199.0,{'runtime': 6},0.8333333333333334,0.717391304347826,1702219825.95181,1e-05,199.0,7.3849780559539795,0.8076923076923077,4,SAGPool,1,HotKlog,32,32,1,25
1501,199.0,{'runtime': 7},0.8333333333333334,0.75,1702219820.779122,1e-05,199.0,8.27782678604126,0.8461538461538461,4,GCN,1,HotKlog,32,32,0,25
1502,199.0,{'runtime': 7},0.5,0.7717391304347826,1702219819.86566,1e-05,199.0,8.131532907485962,1.0,4,GIN,1,HotKlog,32,32,1,25
