,epoch,_wandb,val_acc,_runtime,test_acc,train_acc,lr,_step,_timestamp,fold,model,layers,dataset,batch_size,hidden_dims,repetitions,dataset_size
34,199.0,{'runtime': 16},0.98,17.257248163223267,0.9891304347826086,1.0,1e-05,199.0,1701881771.988464,4,SAGPool,4,HotIn,32,32,0,200
35,199.0,{'runtime': 16},0.98,16.864041090011597,0.9782608695652174,1.0,1e-05,199.0,1701881772.466666,4,SAGPool,4,HotIn,32,32,1,200
36,199.0,{'runtime': 16},0.68,16.93350601196289,0.6521739130434783,0.7,1e-05,199.0,1701881769.965348,4,GCN,4,HotIn,32,32,1,200
37,199.0,{'runtime': 17},0.94,17.8754460811615,0.9891304347826086,0.97,1e-05,199.0,1701881768.512885,4,GCN,4,HotIn,32,32,0,200
38,199.0,{'runtime': 22},1.0,23.587173223495483,0.967391304347826,1.0,1e-05,199.0,1701881772.986714,4,GIN,4,HotIn,32,32,1,200
39,199.0,{'runtime': 23},0.98,23.854379177093502,0.9782608695652174,0.995,1e-05,199.0,1701881772.987564,4,GIN,4,HotIn,32,32,0,200
40,199.0,{'runtime': 13},1.0,13.875527143478394,1.0,1.0,1e-05,199.0,1701881742.428549,4,GlobalAttentionNet,3,HotIn,32,32,1,200
41,199.0,{'runtime': 13},1.0,13.779531002044678,1.0,1.0,1e-05,199.0,1701881742.295205,4,GlobalAttentionNet,3,HotIn,32,32,0,200
42,199.0,{'runtime': 15},0.96,15.794579982757568,0.9782608695652174,1.0,1e-05,199.0,1701881743.439847,4,SAGPool,3,HotIn,32,32,1,200
43,199.0,{'runtime': 16},0.96,17.268638849258423,0.9347826086956522,0.995,1e-05,199.0,1701881742.4796329,4,SAGPool,3,HotIn,32,32,0,200
44,199.0,{'runtime': 14},0.96,15.460849046707152,0.9782608695652174,0.97,1e-05,199.0,1701881739.370469,4,GCN,3,HotIn,32,32,1,200
45,199.0,{'runtime': 14},0.98,15.285912036895752,0.9565217391304348,0.99,1e-05,199.0,1701881738.988714,4,GCN,3,HotIn,32,32,0,200
46,199.0,{'runtime': 19},1.0,20.42236018180847,1.0,1.0,1e-05,199.0,1701881743.912922,4,GIN,3,HotIn,32,32,0,200
47,199.0,{'runtime': 19},1.0,20.44490885734558,0.9891304347826086,1.0,1e-05,199.0,1701881743.910854,4,GIN,3,HotIn,32,32,1,200
48,199.0,{'runtime': 11},1.0,12.207268953323364,1.0,1.0,1e-05,199.0,1701881714.384703,4,GlobalAttentionNet,2,HotIn,32,32,1,200
49,199.0,{'runtime': 12},1.0,13.186909914016724,0.9891304347826086,1.0,1e-05,199.0,1701881712.931128,4,GlobalAttentionNet,2,HotIn,32,32,0,200
50,199.0,{'runtime': 12},0.98,12.997256994247437,0.9565217391304348,1.0,1e-05,199.0,1701881711.542905,4,SAGPool,2,HotIn,32,32,0,200
51,199.0,{'runtime': 12},0.98,13.323527812957764,0.9565217391304348,1.0,1e-05,199.0,1701881711.8955789,4,SAGPool,2,HotIn,32,32,1,200
52,199.0,{'runtime': 15},0.98,16.229265928268433,0.9891304347826086,1.0,1e-05,199.0,1701881714.156309,4,GIN,2,HotIn,32,32,1,200
53,199.0,{'runtime': 13},0.96,14.123284816741943,0.9347826086956522,0.985,1e-05,199.0,1701881712.5019178,4,GCN,2,HotIn,32,32,1,200
54,199.0,{'runtime': 13},0.98,13.7496440410614,0.9782608695652174,0.97,1e-05,199.0,1701881712.31299,4,GCN,2,HotIn,32,32,0,200
55,199.0,{'runtime': 17},1.0,18.072738885879517,0.9891304347826086,1.0,1e-05,199.0,1701881713.6945229,4,GIN,2,HotIn,32,32,0,200
56,199.0,{'runtime': 9},1.0,10.13222599029541,0.9891304347826086,1.0,1e-05,199.0,1701881688.512189,4,GlobalAttentionNet,1,HotIn,32,32,1,200
57,199.0,{'runtime': 10},1.0,10.53419589996338,0.9782608695652174,1.0,1e-05,199.0,1701881688.0711198,4,GlobalAttentionNet,1,HotIn,32,32,0,200
