train_acc,train_loss,val_acc,test_acc,test_acc_std,lr,epoch,model,layers,hidden_dims,total_epochs,runtime,test_size,val_size,train_size,representation
1.0,0.06903985370445298,0.875,0.880952380952381,0.038880789567986955,1e-05,124,GINE,2,32,200,6.171757936477661,3,16,142,node_only
1.0,0.014774939469134551,1.0,1.0,0.0,1e-05,128,GINE,2,32,200,8.971149524052938,3,16,142,node_edge
1.0,0.009437583463295596,1.0,1.0,0.0,1e-05,125,GINE,2,32,200,10.529778003692627,3,16,142,edge_based
1.0,0.005784186456367024,1.0,1.0,0.0,1e-05,125,GINE,2,32,200,11.615976333618164,3,16,142,Klog
1.0,0.009396736422786489,0.8125,0.9206349206349206,0.011223917161691244,1e-05,130,GINE,2,64,200,6.900840679804484,3,16,142,node_only
1.0,0.09704094311655354,1.0,1.0,0.0,1e-05,127,GINE,2,64,200,10.77254867553711,3,16,142,node_edge
1.0,0.0067583596628537634,1.0,1.0,0.0,1e-05,127,GINE,2,64,200,13.502604484558105,3,16,142,edge_based
1.0,0.009704750035723464,1.0,1.0,0.0,1e-05,125,GINE,2,64,200,14.356507460276285,3,16,142,Klog
1.0,0.00550373602527543,0.875,0.9047619047619048,0.0194403947839935,1e-05,125,GINE,2,128,200,7.32895032564799,3,16,142,node_only
1.0,0.0007639915582426937,1.0,1.0,0.0,1e-05,127,GINE,2,128,200,14.075889269510904,3,16,142,node_edge
1.0,0.00132045026657579,1.0,1.0,0.0,1e-05,125,GINE,2,128,200,19.37440292040507,3,16,142,edge_based
1.0,0.005311933869911467,1.0,1.0,0.0,1e-05,126,GINE,2,128,200,19.627342700958252,3,16,142,Klog
1.0,0.15809236973291263,1.0,0.9285714285714285,0.019440394783993453,1e-05,127,GINE,3,32,200,8.47178872426351,3,16,142,node_only
1.0,0.005114912067256228,1.0,1.0,0.0,1e-05,125,GINE,3,32,200,12.956571340560913,3,16,142,node_edge
1.0,0.03634005326239276,1.0,1.0,0.0,1e-05,122,GINE,3,32,200,14.557698647181192,3,16,142,edge_based
1.0,3.4276190374882276e-05,1.0,1.0,0.0,1e-05,126,GINE,3,32,200,15.513400395711264,3,16,142,Klog
1.0,0.0652244655211689,0.875,0.9285714285714285,1.1102230246251565e-16,1e-05,129,GINE,3,64,200,9.062820037206015,3,16,142,node_only
1.0,0.00020954100750714133,1.0,1.0,0.0,1e-05,127,GINE,3,64,200,14.988222996393839,3,16,142,node_edge
1.0,0.1406516633105639,1.0,1.0,0.0,1e-05,122,GINE,3,64,200,19.635753870010376,3,16,142,edge_based
1.0,0.0004629024609705823,1.0,1.0,0.0,1e-05,126,GINE,3,64,200,21.139026085535686,3,16,142,Klog
1.0,0.038943066570936935,0.875,0.9126984126984127,0.022447834323382487,1e-05,134,GINE,3,128,200,10.464125633239746,3,16,142,node_only
1.0,0.0057477010996080935,1.0,1.0,0.0,1e-05,127,GINE,3,128,200,20.937405268351238,3,16,142,node_edge
1.0,0.016242981972027337,1.0,1.0,0.0,1e-05,125,GINE,3,128,200,28.534687757492065,3,16,142,edge_based
1.0,0.0212317605798944,1.0,1.0,0.0,1e-05,128,GINE,3,128,200,29.629146973292034,3,16,142,Klog
0.9859154929577465,0.5995602253824472,0.75,0.9126984126984127,0.040468408838037984,1e-05,130,GINE,4,32,200,10.508329629898071,3,16,142,node_only
1.0,0.0029896492887928616,1.0,1.0,0.0,1e-05,125,GINE,4,32,200,18.296253204345703,3,16,142,node_edge
1.0,0.004206736570267822,1.0,1.0,0.0,1e-05,125,GINE,4,32,200,24.792828400929768,3,16,142,edge_based
1.0,0.00562390164941462,1.0,1.0,0.0,1e-05,124,GINE,4,32,200,24.034692843755085,3,16,142,Klog
