test_acc,runtime,train_acc,system,representation
0.0,10.337345838546751,0.0,Popper,node_only
0.8809523809523809,322.0580260753632,1.0,Popper,node_edge
0.8809523809523809,191.10271406173703,1.0,Popper,edge_based
0.7619047619047619,18.363600730896,0.9333333333333332,Popper,Klog
0.5238095238095238,1.274727833,0.0,Aleph,node_only
0.8809523809523809,0.374590958,0.0,Aleph,node_edge
0.8809523809523809,0.412288584,0.0,Aleph,edge_based
0.5238095238095238,1.259897417,0.0,Aleph,Klog
0.5,1.6664221286773682,0.5,Tilde,node_only
0.8809523809523809,44.87805724143982,0.873417721518987,Tilde,node_edge
0.7619047619047619,1.7292160987854004,0.727848101265823,Tilde,edge_based
0.7619047619047619,1.440070867538452,0.727848101265823,Tilde,Klog
