train_acc,train_loss,val_acc,test_acc,test_acc_std,lr,epoch,model,layers,hidden_dims,total_epochs,runtime,test_size,val_size,train_size,representation
0.9583333333333334,9.420893613249063,0.75,0.77,0.004082482904638634,1e-05,137,GINE,3,128,200,58.60136310259501,13,80,720,node_only
0.9861111111111112,6.471480900421739,0.8625,0.945,0.032659863237109024,1e-05,135,GINE,3,128,200,67.3200093905131,13,80,720,node_edge
0.9944444444444445,0.8238921776646748,0.95,0.995,0.007071067811865482,1e-05,139,GINE,3,128,200,70.13014634450276,13,80,720,edge_based
0.9541666666666667,4.499134000623599,0.925,0.96,0.008164965809277268,1e-05,146,GINE,3,128,200,60.119365771611534,13,80,720,Klog
0.9569444444444445,11.765538427978754,0.8,0.7816666666666667,0.006236095644623242,1e-05,146,GINE,3,256,200,76.60964123408,13,80,720,node_only
0.9972222222222222,3.402601971756667,0.925,0.975,0.0177951304200522,1e-05,149,GINE,3,256,200,83.25842062632243,13,80,720,node_edge
1.0,0.1898526929981017,0.9875,0.9950000000000001,0.004082482904638634,1e-05,142,GINE,3,256,200,86.7828357219696,13,80,720,edge_based
0.9694444444444444,3.827443146146834,0.925,0.9666666666666667,0.0023570226039551605,1e-05,137,GINE,3,256,200,74.10201597213745,13,80,720,Klog
0.9791666666666666,3.9824829483404756,0.775,0.775,0.016329931618554536,1e-05,145,GCN,3,128,200,20.24541171391805,13,80,720,node_only
0.9805555555555555,2.292078420286998,0.75,0.7733333333333334,0.016499158227686123,1e-05,145,GCN,3,128,200,18.00043773651123,13,80,720,node_edge
0.9263888888888889,11.328166667371988,0.7875,0.755,0.014719601443879758,1e-05,145,GCN,3,128,200,21.96935264269511,13,80,720,edge_based
0.9430555555555555,6.260366512462497,0.9125,0.9466666666666667,0.0023570226039551605,1e-05,125,GCN,3,128,200,18.021555582682293,13,80,720,Klog
0.9444444444444444,7.547066304832697,0.7,0.775,0.008164965809277268,1e-05,124,GCN,3,256,200,27.1130526860555,13,80,720,node_only
0.925,9.287217184901237,0.7125,0.7233333333333333,0.04129837231121288,1e-05,130,GCN,3,256,200,24.94348669052124,13,80,720,node_edge
0.6513888888888889,29.096858024597168,0.7125,0.6966666666666668,0.05185449728701348,1e-05,121,GCN,3,256,200,26.684207598368328,13,80,720,edge_based
0.9555555555555556,4.069146916270256,0.9375,0.9533333333333333,0.004714045207910321,1e-05,153,GCN,3,256,200,28.03664978345235,13,80,720,Klog
0.6638888888888889,28.72974044084549,0.6,0.7000000000000001,0.0565685424949238,1e-05,121,GlobalAttentionNet,3,128,200,16.204805771509807,13,80,720,node_only
0.9847222222222223,2.2839237061562017,0.7,0.7483333333333334,0.030641293851417086,1e-05,135,GlobalAttentionNet,3,128,200,16.501693328221638,13,80,720,node_edge
0.6625,28.766498744487762,0.6125,0.6816666666666666,0.030641293851417034,1e-05,121,GlobalAttentionNet,3,128,200,18.009560028711956,13,80,720,edge_based
0.9597222222222223,3.9665250312536955,0.8875,0.9666666666666667,0.004714045207910321,1e-05,135,GlobalAttentionNet,3,128,200,17.66402840614319,13,80,720,Klog
0.9972222222222222,0.3699769871764147,0.7875,0.7399999999999999,0.07427426651719063,1e-05,151,GlobalAttentionNet,3,256,200,26.00096805890401,13,80,720,node_only
0.8111111111111111,18.61956648528576,0.65,0.7016666666666667,0.04249182927993986,1e-05,121,GlobalAttentionNet,3,256,200,25.09703540802002,13,80,720,node_edge
0.6541666666666667,29.018763214349747,0.6875,0.66,0.0,1e-05,121,GlobalAttentionNet,3,256,200,27.103736877441406,13,80,720,edge_based
0.8569444444444444,14.14238416403532,0.8875,0.8883333333333333,0.0023570226039551605,1e-05,124,GlobalAttentionNet,3,256,200,25.80517061551412,13,80,720,Klog
0.9972222222222222,0.5627448331048299,0.775,0.8133333333333334,0.039228674319799386,1e-05,142,SAGPool,3,128,200,25.594634532928467,13,80,720,node_only
0.9861111111111112,2.839956120122224,0.8,0.7816666666666667,0.006236095644623242,1e-05,133,SAGPool,3,128,200,23.925345420837402,13,80,720,node_edge
0.9972222222222222,1.1166523983119987,0.825,0.8566666666666666,0.030092450142113005,1e-05,146,SAGPool,3,128,200,29.883771657943726,13,80,720,edge_based
0.9638888888888889,3.21023377077654,0.95,0.9633333333333333,0.0023570226039551605,1e-05,130,SAGPool,3,128,200,23.78212841351827,13,80,720,Klog
1.0,0.4104167829918879,0.9,0.8133333333333334,0.022484562605386706,1e-05,151,SAGPool,3,256,200,41.05271077156067,13,80,720,node_only
1.0,0.09599069656985648,0.8375,0.7799999999999999,0.036742346141747664,1e-05,154,SAGPool,3,256,200,39.37808442115784,13,80,720,node_edge
1.0,0.1555641547893174,0.85,0.8083333333333332,0.02392116682401218,1e-05,152,SAGPool,3,256,200,47.085891326268516,13,80,720,edge_based
0.9652777777777778,3.634499302599579,0.9375,0.9666666666666667,0.004714045207910321,1e-05,136,SAGPool,3,256,200,37.51952290534973,13,80,720,Klog
