test_acc,runtime,train_acc,system,representation
0.3888888888888889,2.1189091205596924,0.549450549450549,Tilde,node_only
0.5,0.25321325,0.0,Aleph,node_only
1.0,1.392557144165039,1.0,Tilde,node_edge
0.9444444444444444,0.125760084,0.0,Aleph,node_edge
0.6666666666666666,1.6844840049743652,0.857142857142857,Tilde,edge_based
0.7222222222222222,0.2429935839999999,0.0,Aleph,edge_based
1.0,1.4663000106811523,1.0,Tilde,Klog
0.7777777777777778,0.212270042,0.0,Aleph,Klog
0.0,0.0796587467193603,0.0,Popper,node_only
0.9444444444444444,0.4182219505310058,1.0,Popper,node_edge
0.5555555555555556,0.0833110809326171,1.0,Popper,edge_based
0.7777777777777778,0.078362226486206,1.0,Popper,Klog
